replicate,attempt_id,n_sampled_group_draws,n_unique_sampled_groups,n_sampled_trials,n_genuine,n_impostor,x_vector_eer,x_vector_auc,x_vector_min_dcf,x_vector_cllr,x_vector_cllr_min,x_vector_calibration_loss,ecapa_tdnn_eer,ecapa_tdnn_auc,ecapa_tdnn_min_dcf,ecapa_tdnn_cllr,ecapa_tdnn_cllr_min,ecapa_tdnn_calibration_loss,difference_eer,difference_auc,difference_min_dcf,difference_cllr,difference_cllr_min,difference_calibration_loss
11,11,87,54,27960,14542,13418,0.20884335029569523,0.8703609913659458,0.41276912373858266,0.6971715136309883,0.6311363826015897,0.06603513102939862,0.06243982945949663,0.9852064262993121,0.12143982533905164,0.22896141727210184,0.22370937821541564,0.005252039056686197,0.1464035208361986,-0.1148454349333663,0.29132929839953103,0.46821009635888644,0.407427004386174,0.06078309197271242
12,12,87,56,25365,12597,12768,0.182106850837501,0.9043249944341683,0.35957151079055105,0.5733579682271464,0.5548267427608562,0.018531225466290158,0.06930221481305072,0.9829765443715663,0.1359790879914719,0.2484919042671439,0.24173304834181314,0.0067588559253307645,0.11280463602445027,-0.07865154993739809,0.22359242279907915,0.32486606396000245,0.31309369441904306,0.011772369540959393
13,13,87,54,26519,13371,13148,0.19219653179190752,0.8927031667938439,0.37492516292826583,0.5996430942984811,0.5685962740216488,0.031046820276832254,0.05460906601764527,0.988355928423712,0.10886508694774803,0.20535440354767948,0.19992283221830928,0.005431571329370194,0.13758746577426223,-0.09565276162986813,0.2660600759805178,0.3942886907508016,0.3686734418033395,0.02561524894746206
14,14,87,56,25477,12513,12964,0.15647726364580836,0.9221837921699353,0.3057488031022251,0.5422261250744906,0.5026396345462055,0.03958649052828511,0.05484418389385992,0.9884556531432549,0.10877347231819359,0.2062972883673554,0.19912263466843855,0.007174653698916844,0.10163307975194844,-0.06627186097331961,0.19697533078403148,0.33592883670713525,0.303516999877767,0.03241183682936827
15,15,87,55,26126,12486,13640,0.1783724340175953,0.9098040039448287,0.3472816945007734,0.5659263059685953,0.5427798295825891,0.0231464763860062,0.0671952586897325,0.9837027852426388,0.1337494005015823,0.25574041025827987,0.24568992516758023,0.01005048509069964,0.11117717532786281,-0.07389878129781002,0.2135322939991911,0.3101858957103154,0.2970899044150088,0.013095991295306558
16,16,87,55,29300,15354,13946,0.1810603100169337,0.9055568893441703,0.3550345504490693,0.5855104846652764,0.5520200229982074,0.03349046166706904,0.06532339021941776,0.9843183819926133,0.12984522765483292,0.24855284443157594,0.2375899668196168,0.010962877611959132,0.11573691979751595,-0.07876149264844301,0.22518932279423637,0.3369576402337005,0.3144300561785906,0.022527584055109906
17,17,87,55,27702,13945,13757,0.19942631767658658,0.8917991226761757,0.3924525192989531,0.6125863062168327,0.5880848057298276,0.024501500487005168,0.07006095374686268,0.9826375505616319,0.13857438410115566,0.26322328864133315,0.2538821000230524,0.00934118861828076,0.12936536392972392,-0.09083842788545626,0.25387813519779745,0.3493630175754996,0.3342027057067752,0.015160311868724408
18,18,87,51,24972,11336,13636,0.1605309474919331,0.9227578828707603,0.3141803070994149,0.5199257352677484,0.5011079321892453,0.018817803078503115,0.05460479887085392,0.9886209844918377,0.10888885289117002,0.20621728953063923,0.20072327950482277,0.005494010025816454,0.10592614862107919,-0.06586310162107734,0.2052914542082449,0.3137084457371092,0.30038465268442255,0.013323793052686661
19,19,87,58,24901,11716,13185,0.18504609081597814,0.9083702680024387,0.3657254621543124,0.5573498544514914,0.5441892336632124,0.013160620788279065,0.07918088737201365,0.9786225559710261,0.15737594178389241,0.2903790880227896,0.2810810705217699,0.009298017501019717,0.1058652034439645,-0.0702522879685874,0.20834952037041998,0.2669707664287018,0.2631081631414425,0.0038626032872593474
20,20,87,60,27457,14241,13216,0.1969665051611544,0.8964784856048584,0.3912706304631802,0.5869520508838952,0.576970055343459,0.009981995540436217,0.07597781054701215,0.979222862156006,0.1512859668134141,0.2941319289769777,0.2803781951462544,0.013753733830723314,0.12098869461414226,-0.08274437655114752,0.23998466364976612,0.29282012190691753,0.2965918601972046,-0.0037717382902870966
