nombre_metrica,diferencia_observada,ic_inferior_diferencia,ic_superior_diferencia,ic_incluye_cero,proporcion_xvector_mejor,proporcion_ecapa_mejor,ganador_mayoria_bootstrap,intervalo_confianza_diferencia_95
EER,0.11507785795670337,0.08381809705490864,0.14577126248817493,False,0.0,1.0,ECAPA-TDNN,"[+0.083818, +0.145771]"
ROC-AUC,-0.07877054055071553,-0.10922834133607384,-0.04778361886025002,False,0.0,1.0,ECAPA-TDNN,"[-0.109228, -0.047784]"
minDCF normalizada,0.22704139764527156,0.16589495881011512,0.2855250097245335,False,0.0,1.0,ECAPA-TDNN,"[+0.165895, +0.285525]"
C_llr,0.34371086615888813,0.24954771611250137,0.4529982862544147,False,0.0,1.0,ECAPA-TDNN,"[+0.249548, +0.452998]"
C_llr mínimo,0.3242288732661291,0.2432362924330106,0.4050918661250152,False,0.0,1.0,ECAPA-TDNN,"[+0.243236, +0.405092]"
Pérdida de calibración,0.019481992892759037,-0.0019862384936569833,0.053244412265669776,True,0.044,0.956,ECAPA-TDNN,"[-0.001986, +0.053244]"
