metrica,nombre_metrica,mejor_direccion,convencion_diferencia,valor_xvector,valor_ecapa_tdnn,diferencia_observada,media_diferencia_bootstrap,mediana_diferencia_bootstrap,error_estandar_diferencia,sesgo_estimado_diferencia,ic_inferior_diferencia,ic_superior_diferencia,ic_incluye_cero,proporcion_xvector_mejor,proporcion_ecapa_mejor,proporcion_empates,probabilidad_signo_bootstrap_bilateral,ganador_observado,ganador_mayoria_bootstrap,conclusion_intervalo,n_replicas
eer,EER,lower,x-vector - ECAPA-TDNN,0.17766805924800608,0.0625902012913027,0.11507785795670337,0.11458439433496442,0.11427600072459886,0.015872146592871835,-0.0004934636217389515,0.08381809705490864,0.14577126248817493,False,0.0,1.0,0.0,0.0,ECAPA-TDNN,ECAPA-TDNN,El intervalo no incluye cero; la diferencia mantiene una dirección estable bajo este bootstrap.,1000
auc,ROC-AUC,higher,x-vector - ECAPA-TDNN,0.9068086481306172,0.9855791886813328,-0.07877054055071553,-0.07759503829444706,-0.07765879347803734,0.015920516586199127,0.0011755022562684736,-0.10922834133607384,-0.04778361886025002,False,0.0,1.0,0.0,0.0,ECAPA-TDNN,ECAPA-TDNN,El intervalo no incluye cero; la diferencia mantiene una dirección estable bajo este bootstrap.,1000
min_dcf,minDCF normalizada,lower,x-vector - ECAPA-TDNN,0.35070262058488416,0.1236612229396126,0.22704139764527156,0.2253665018470527,0.22517319387912846,0.031103238346437,-0.0016748957982188617,0.16589495881011512,0.2855250097245335,False,0.0,1.0,0.0,0.0,ECAPA-TDNN,ECAPA-TDNN,El intervalo no incluye cero; la diferencia mantiene una dirección estable bajo este bootstrap.,1000
cllr,C_llr,lower,x-vector - ECAPA-TDNN,0.5732443446573506,0.2295334784984625,0.34371086615888813,0.34392449366423594,0.3402960725323483,0.0525128715417867,0.00021362750534781316,0.24954771611250137,0.4529982862544147,False,0.0,1.0,0.0,0.0,ECAPA-TDNN,ECAPA-TDNN,El intervalo no incluye cero; la diferencia mantiene una dirección estable bajo este bootstrap.,1000
cllr_min,C_llr mínimo,lower,x-vector - ECAPA-TDNN,0.5505030799073443,0.22627420664121517,0.3242288732661291,0.32223852987991985,0.32156050918092105,0.043086782443733394,-0.001990343386209237,0.2432362924330106,0.4050918661250152,False,0.0,1.0,0.0,0.0,ECAPA-TDNN,ECAPA-TDNN,El intervalo no incluye cero; la diferencia mantiene una dirección estable bajo este bootstrap.,1000
calibration_loss,Pérdida de calibración,lower,x-vector - ECAPA-TDNN,0.022741264750006374,0.0032592718572473367,0.019481992892759037,0.02168596378431611,0.019577927652553104,0.014038859958600904,0.0022039708915570742,-0.0019862384936569833,0.053244412265669776,True,0.044,0.956,0.0,0.088,ECAPA-TDNN,ECAPA-TDNN,El intervalo incluye cero; la dirección de la diferencia no es concluyente bajo este bootstrap.,1000
