fold,n_train_trials,n_test_trials,n_train_speakers,n_test_speakers,train_genuine,train_impostor,test_genuine,test_impostor,train_genuine_proportion,test_genuine_proportion,overlapping_speakers
1,21134,5196,71,16,10409,10725,2756,2440,0.49252389514526357,0.5304080061585835,0
2,21016,5314,69,18,10459,10557,2706,2608,0.4976684430909783,0.5092209258562288,0
3,21132,5198,70,17,10353,10779,2812,2386,0.48992049971607043,0.5409772989611389,0
4,21016,5314,69,18,10612,10404,2553,2761,0.5049486105824134,0.48042905532555513,0
5,21022,5308,69,18,10827,10195,2338,2970,0.5150318713728474,0.4404672192916353,0
