modelo,eer,eer_ic_inferior_95,eer_ic_superior_95,umbral_eer_interpolado,auc,auc_ic_inferior_95,auc_ic_superior_95,min_dcf,min_dcf_ic_inferior_95,min_dcf_ic_superior_95,umbral_min_dcf,cllr,cllr_ic_inferior_95,cllr_ic_superior_95,cllr_min,cllr_min_ic_inferior_95,cllr_min_ic_superior_95,perdida_calibracion,perdida_calibracion_ic_inferior_95,perdida_calibracion_ic_superior_95,genuinos_con_llr_negativo,impostores_con_llr_positivo,llr_genuino_mas_enganoso,llr_impostor_mas_enganoso
x-vector,0.17766805924800608,0.13276078438753494,0.21280498566351536,0.9250915050506592,0.9068086481306172,0.8734714631044403,0.9435637966006925,0.35070262058488416,0.26047673304857144,0.4192771413532349,0.9276196360588074,0.5732443446573506,0.463324355095735,0.672584512968698,0.5505030799073443,0.4312960500344826,0.6264841502997084,0.022741264750006374,0.012295873793564198,0.061354608568854434,0.17561716672996583,0.17994682871249526,-18.802594115471607,3.6938084766927375
ECAPA-TDNN,0.0625902012913027,0.03698215588389124,0.08489811013073185,0.3614668250083923,0.9855791886813328,0.9752513567381377,0.9935819614000281,0.1236612229396126,0.07299956749802451,0.16910563641455092,0.3670617341995239,0.2295334784984625,0.15451678782341022,0.3161361226378421,0.22627420664121517,0.14052681473761183,0.30066175745417734,0.0032592718572473367,0.0040627480473976844,0.020230718018087082,0.06988226357766807,0.059248006076718575,-7.607503071144491,5.65478177120101
