metrica,nombre_metrica,mejor_direccion,valor_xvector,valor_ecapa_tdnn,diferencia_xvector_menos_ecapa,ic_diferencia_inferior_95,ic_diferencia_superior_95,ic_diferencia_incluye_cero,proporcion_xvector_mejor,proporcion_ecapa_mejor,ganador_observado,ganador_mayoria_bootstrap,incluir_en_promedio
eer,EER,lower,0.17766805924800608,0.0625902012913027,0.11507785795670337,0.08381809705490864,0.14577126248817493,False,0.0,1.0,ECAPA-TDNN,ECAPA-TDNN,True
auc,ROC-AUC,higher,0.9068086481306172,0.9855791886813328,-0.07877054055071553,-0.10922834133607384,-0.04778361886025002,False,0.0,1.0,ECAPA-TDNN,ECAPA-TDNN,True
min_dcf,minDCF normalizada,lower,0.35070262058488416,0.1236612229396126,0.22704139764527156,0.16589495881011512,0.2855250097245335,False,0.0,1.0,ECAPA-TDNN,ECAPA-TDNN,True
cllr,C_llr,lower,0.5732443446573506,0.2295334784984625,0.34371086615888813,0.24954771611250137,0.4529982862544147,False,0.0,1.0,ECAPA-TDNN,ECAPA-TDNN,True
cllr_min,C_llr mínimo,lower,0.5505030799073443,0.22627420664121517,0.3242288732661291,0.2432362924330106,0.4050918661250152,False,0.0,1.0,ECAPA-TDNN,ECAPA-TDNN,True
calibration_loss,Pérdida de calibración,lower,0.022741264750006374,0.0032592718572473367,0.019481992892759037,-0.0019862384936569833,0.053244412265669776,True,0.044,0.956,ECAPA-TDNN,ECAPA-TDNN,True
target_misleading,Proporción de genuinos con LLR negativo,lower,0.17561716672996583,0.06988226357766807,0.10573490315229776,,,,,,ECAPA-TDNN,,False
non_target_misleading,Proporción de impostores con LLR positivo,lower,0.17994682871249526,0.059248006076718575,0.12069882263577669,,,,,,ECAPA-TDNN,,False
